Id,Nome_prices,Squadra_prices,R_prices,Qt.A,Qt.I,Diff.,FVM,Pv,Mv,Fm,Gf,Gs,Rp,Rc,Ass,Amm,Esp,sofa_goals,sofa_assists,sofa_appearances,sofa_minutes_played,sofa_rating,sofa_expected_goals,sofa_expected_assists,sofa_shots_on_target,sofa_total_shots,sofa_successful_dribbles,sofa_accurate_crosses,sofa_pass_accuracy,sofa_tackles,sofa_interceptions,sofa_yellow_cards,sofa_red_cards,sofa_match_score,sofa_match_type
2428,Sommer,Inter,P,16,16,0,90,33.0,6.18,5.3,0.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2970.0,7.09,0.0,0.02159105,0.0,0.0,0.0,0.0,86.71152228763667,0.0,0.0,0.0,0.0,0.8469999999999999,fuzzy_match
5876,Di Gregorio,Juventus,P,16,16,0,84,33.0,6.15,5.18,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2970.0,7.01,0.0,0.04689138,0.0,0.0,0.0,0.0,73.61751152073732,0.0,1.0,0.0,0.0,0.861,fuzzy_match
4312,Maignan,Milan,P,16,16,0,77,37.0,6.18,5.14,0.0,41.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,3295.0,7.08,0.0,0.20525295,0.0,0.0,1.0,0.0,84.71615720524017,0.0,0.0,2.0,0.0,0.868,fuzzy_match
572,Meret,Napoli,P,16,16,0,93,34.0,6.32,5.71,0.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,3006.0,6.97,0.0,0.02170763,0.0,0.0,0.0,0.0,84.52488687782805,0.0,0.0,0.0,0.0,0.819,fuzzy_match
5841,Svilar,Roma,P,15,15,0,83,38.0,6.32,5.38,0.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,3420.0,7.19,0.0451,0.03437686,0.0,1.0,0.0,0.0,76.16459627329193,0.0,0.0,1.0,0.0,0.8469999999999999,fuzzy_match
4431,Carnesecchi,Atalanta,P,14,14,0,71,34.0,6.34,5.32,0.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,3060.0,7.19,0.0,0.02313439,0.0,0.0,0.0,0.0,70.3991130820399,0.0,0.0,1.0,0.0,0.9029999999999999,fuzzy_match
2521,De Gea,Fiorentina,P,14,14,0,58,35.0,6.34,5.41,0.0,38.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,35.0,3150.0,7.16,0.0,0.04821159,0.0,0.0,0.0,0.0,70.44088176352705,1.0,0.0,1.0,0.0,0.819,fuzzy_match
2814,Provedel,Lazio,P,12,12,0,50,29.0,5.98,4.53,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2610.0,6.87,0.0,0.08186599,0.0,0.0,0.0,0.0,75.46614327772326,0.0,1.0,0.0,0.0,0.8819999999999999,fuzzy_match
133,Skorupski,Bologna,P,10,10,0,46,27.0,6.17,5.04,0.0,33.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,2365.0,6.82,0.0,0.04231342,0.0,0.0,1.0,0.0,76.29179331306992,1.0,0.0,1.0,0.0,0.854,fuzzy_match
6966,Butez,Como,P,10,10,0,35,18.0,6.22,5.22,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1665.0,7.06,0.0,0.04129948,0.0,0.0,0.0,0.0,75.15151515151514,0.0,0.0,0.0,0.0,0.819,fuzzy_match
7179,Israel,Torino,P,9,9,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Leali,Genoa,P,8,8,0,29,29.0,6.16,5.1,0.0,31.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,2610.0,7.14,0.0,0.03757217,0.0,0.0,0.0,0.0,67.83980582524272,0.0,0.0,1.0,0.0,0.763,fuzzy_match
4360,Caprile,Cagliari,P,7,7,0,18,22.0,6.2,5.16,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1620.0,7.17,0.0,0.02872791,0.0,0.0,0.0,0.0,63.725490196078425,1.0,0.0,0.0,0.0,0.868,fuzzy_match
